Corporate Name,Supervising Authority,Designation Type,Industry,Ghge,Energy,Verification
 롯데이노베이트(주),기후에너지환경부,사업장,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",120487,2514,한국표준협회
 리뉴에너지경인 주식회사,기후에너지환경부,사업장,폐기물 처리업,51427,12,(주)한국경영인증원
(유)남해환경,기후에너지환경부,사업장,폐기물 처리업,27986,178,(재)한국품질재단
(유)에스케이씨에보닉페록사이드코리아,기후에너지환경부,사업장,기초 화학물질 제조업,36818,734,(재)한국품질재단
(유)청명,기후에너지환경부,사업장,폐기물,25597,511,㈜한국품질보증원
(유)호남고속,국토교통부,사업장,교통(여객),20755,317,(주)한국경영인증원
(재)우체국물류지원단,국토교통부,사업장,육상운송 및 파이프라인 운송업,18542,273,(재)한국품질재단
(주)MSC,기후에너지환경부,사업장,기타 식품 제조업,29704,596,(주)한국경영인증원
(주)SIMPAC,기후에너지환경부,업체,1차 철강 제조업,99791,1161,한국표준협회
(주)SUN&L,기후에너지환경부,사업장,나무제품 제조업,9998,271,한국표준협회
(주)강동씨앤엘,기후에너지환경부,업체,"시멘트, 석회, 플라스터 및 그 외 제품 제조업",9576,181,한국표준협회
(주)강원랜드,기후에너지환경부,사업장,유원지 및 기타 오락관련 서비스업,79430,1602,로이드인증원㈜
(주)건화,기후에너지환경부,사업장,선박 및 보트 건조업,36370,655,한국표준협회
(주)경기고속,기후에너지환경부,업체,육상 여객 운송업,115254,1851,(주)한국경영인증원
(주)경동,기후에너지환경부,업체,석탄 광업,204871,383,(재)한국품질재단
(주)경동원,산업통상자원부,사업장,기계,8652,168,한국표준협회
(주)경보제약,산업통상자원부,사업장,석유화학,11603,278,(주)한국경영인증원
(주)경북고속,기후에너지환경부,사업장,육상 여객 운송업,31288,443,(주)한국경영인증원
(주)경신전선,산업통상자원부,사업장,전기전자,14500,300,로이드인증원㈜
(주)국제금속,산업통상자원부,사업장,비철금속,29525,293,(주)한국경영인증원
(주)그린스코,기후에너지환경부,사업장,폐기물 처리업,59323,102,(주)한국경영인증원
(주)금남고속,기후에너지환경부,사업장,육상 여객 운송업,22296,318,(주)한국경영인증원
(주)금비,기후에너지환경부,사업장,유리 및 유리제품 제조업,84439,1195,한국표준협회
(주)남해고속,해양수산부,사업장,교통(해운),23741,338,한국표준협회
(주)네오오토,산업통상자원부,사업장,자동차,16901,350,(주)한국경영인증원
(주)네이처이앤티경주,기후에너지환경부,사업장,지정외 폐기물처리업 등,30830,5,(주)비에스아이그룹코리아
(주)네패스,산업통상자원부,사업장,반도체,15802,326,(주)비에스아이그룹코리아
(주)넥센,산업통상자원부,사업장,석유화학,17306,357,한국표준협회
(주)농협물류,기후에너지환경부,사업장,도로 화물 운송업,29600,433,한국표준협회
(주)농협사료,농림축산식품부,업체,식료품 제조업,87275,1791,한국생산성본부인증원(주)
(주)다나에너지솔루션,기후에너지환경부,사업장,폐기물 처리업,58590,222,(주)한국경영인증원
(주)대농,산업통상자원부,사업장,섬유,3811,79,지속가능인증원주식회사
(주)대동세라믹,기후에너지환경부,사업장,"내화, 비내화 요업제품 제조업",36887,677,(주)한국경영인증원
(주)대림제지,기후에너지환경부,사업장,"펄프, 종이 및 판지 제조업",109561,1675,(재)한국품질재단
(주)대양금속,산업통상자원부,사업장,기계,19950,395,(재)한국품질재단
(주)대우건설,국토교통부,업체,건설,61064,1259,한국표준협회
(주)대욱케스트,산업통상자원부,사업장,철강,15522,289,(주)한국경영인증원
(주)대웅제약,산업통상자원부,사업장,석유화학,20586,424,(주)한국경영인증원
(주)대원고속,기후에너지환경부,업체,육상 여객 운송업,117728,1920,(주)한국경영인증원
(주)대원농산,기후에너지환경부,사업장,폐기물,20027,127,(재)한국품질재단
(주)대원버스,기후에너지환경부,사업장,육상 여객 운송업,33811,583,(주)한국경영인증원
(주)대원여객,국토교통부,사업장,교통(여객),16290,313,(주)한국경영인증원
(주)대원운수,기후에너지환경부,사업장,육상 여객 운송업,35606,596,(주)한국경영인증원
(주)대유코아,기후에너지환경부,사업장,"시멘트, 석회, 플라스터 및 그 외 제품 제조업",96217,736,로이드인증원㈜
(주)대천텍스타일,산업통상자원부,사업장,섬유,15547,233,한국표준협회
(주)대호특수강,산업통상자원부,사업장,철강,40263,806,로이드인증원㈜
(주)동광화학,산업통상자원부,사업장,석유화학,25455,527,(주)한국경영인증원
(주)동남,기후에너지환경부,사업장,1차 비철금속 제조업,53758,837,한국표준협회
(주)동방,기후에너지환경부,사업장,도로 화물 운송업,57667,842,대일이엔씨기술(주)
(주)동서기공,기후에너지환경부,사업장,자동차 신품 부품 제조업,50632,1045,(주)한국경영인증원
(주)동신포리마,기후에너지환경부,사업장,플라스틱 제품 제조업,37349,765,(주)한국경영인증원
(주)동양고속,기후에너지환경부,사업장,육상 여객 운송업,53374,762,(주)한국경영인증원
(주)동양환경,기후에너지환경부,업체,폐기물 처리업,239750,664,(재)한국품질재단
(주)동우팜투테이블,농림축산식품부,사업장,식료품 제조업,14515,292,(재)한국화학융합시험연구원
